window,energy,dwell,efficiency
88,0.8559045921762695,0.23540887674214298,0.27504102544429104
89,0.8826741518231147,0.2362212266799296,0.26761996617354855
90,0.8307593034324847,0.28406148637204354,0.3419299491009986
91,0.7466970131442958,0.2671932032221973,0.35783349669671183
92,0.7184788548261751,0.2946602674770786,0.4101168259257336
93,0.6890734379328219,0.28309088095489254,0.41082831717191853
94,0.7657844685538833,0.2847865870455089,0.37188869545253966
95,0.7704663120902842,0.2641212465185191,0.34280700186316304
96,0.785050167454263,0.18871082415967239,0.24038059216977187
97,0.825915421955021,0.18382796711535776,0.22257480875942703
98,0.9115222308772278,0.15868395055227877,0.17408675856666309
99,0.8129059757426362,0.19140441123526572,0.2354570109253547
100,0.7449338692392179,0.21489473932269446,0.2884749212884004
101,0.798531949720506,0.2640071469928564,0.33061563416742423
102,0.7245890164996278,0.27537615234460744,0.3800446129267879
103,0.7436788093698281,0.32602971026872174,0.4384012373583022
104,0.7037616629377866,0.32584040595105057,0.46299823230575066
105,0.6115995646153902,0.34741092143535346,0.5680365740564616
106,0.6503420399003216,0.295860027724563,0.4549298823191819
107,0.5689308467539235,0.2765797026528999,0.4861394037295247
108,0.4873217761763545,0.2538673270468822,0.5209439417764024
109,0.496033003937348,0.28094645545887087,0.566386617769727
110,0.521023120843701,0.2237568493754004,0.42945666013846323
111,0.550976032656326,0.15922156746717356,0.28898093202103164
112,0.5538618644508433,0.1293278846948869,0.23350205705129368
113,0.49783049200948776,0.043520682183630865,0.08742068409513849
114,0.5363938869912284,0.009679981562098892,0.01804640544021067
115,0.5594404694636614,0.04077114131821898,0.07287842681459683
116,0.7549189939760427,0.07291691969006696,0.09658906486955085
117,0.954987725108921,0.2263637609040637,0.2370331627608538
118,0.8625583031147182,0.2593475688217327,0.3006725085772815
119,0.8247763205677539,0.3209574092347422,0.38914479137190705
120,0.760274699775698,0.28604008736814507,0.3762325478079325
121,0.8038548922575016,0.30967879834072265,0.38524216408326334
122,0.8491059084241108,0.25286711758282615,0.2978039783309856
123,0.8494417788967423,0.23794856117010668,0.280123449368293
124,0.773910007937967,0.27190811988470853,0.35134333069817214
125,0.801247247248757,0.23625349157654807,0.2948571646995182
126,0.7737179382506735,0.24359197398860138,0.3148330443363687
127,0.7145895678872333,0.24019472713038728,0.3361296300573458
128,0.6905322605210836,0.28903504800495433,0.41856849344734204
129,0.8183120426198555,0.2938682286173705,0.3591151214647034
130,0.7270573547302853,0.27577149681371294,0.3792981323709811
131,0.6352188299535224,0.2639564088704718,0.4155361843543449
132,0.6569398079689934,0.27576863570857396,0.41977763003762447
133,0.6891076713099326,0.27951520071169567,0.4056190524476388
134,0.6797184626156381,0.2875836195022593,0.42309225845255677
135,0.7650402273697946,0.2584640583648126,0.3378437487132235
136,0.7949355710025079,0.2721158828953971,0.3423118712853616
137,0.8011244047668142,0.23990851316019873,0.29946474193366157
138,0.8383236477342726,0.20836347822815615,0.24854777598895472
139,0.9128832579462295,0.17970198893101155,0.19685100734086552
140,0.7629792448191858,0.2084021802534455,0.27314265970042123
141,0.7118435769429482,0.13662500486278123,0.19193121813409034
142,0.6276751615197003,0.09985207544615371,0.1590824068750592
143,0.5746652370455301,0.06683364847659849,0.11630014164172127
144,0.5494075629435444,0.013182438318648978,0.023993914910130528
145,0.6573308432561052,0.0017191989732811223,0.0026154241667764797
146,0.8543623055160698,0.0,0.0
147,0.4652850866260744,0.10093231643569593,0.2169257500727021
148,0.35750534353458857,0.028680109153684574,0.08022288243892357
149,0.43600462947267854,0.03327634881004311,0.0763210905413017
150,0.43194057580546125,0.19038368615346185,0.44076360678634435
151,0.6801819573718004,0.3438719763314959,0.5055588031321052
152,0.7530280826175538,0.41317356799129407,0.5486828147234815
153,0.7360307505287262,0.387632532686937,0.5266526328632556
154,0.7977460171220163,0.39557132331116057,0.4958612324868195
155,0.7880825895719138,0.3812139716865061,0.48372337707042745
